;NumFeatures;HasExternalRiskEstimate;SpecialValues
9760;3;1;0
4722;3;1;0
4699;3;1;0
3809;4;1;0
8402;3;1;0
757;3;1;0
3732;3;1;0
4562;2;1;0
8877;3;1;0
4993;3;1;0
7911;4;1;1
2856;3;1;0
6249;3;1;0
6981;3;1;0
10000;3;1;0
9454;3;1;0
5631;3;1;0
5995;4;1;0
8660;3;1;0
7092;4;1;0
7926;3;1;0
5338;3;1;0
7925;4;1;0
33;3;1;0
4505;3;1;0
4695;3;1;0
9151;3;1;0
6265;3;1;0
4746;3;1;0
533;2;1;0
9027;4;1;0
6943;3;1;0
8676;3;1;0
9290;3;1;0
5191;3;1;0
6839;4;1;0
8943;3;1;0
2156;3;1;0
9794;4;1;0
5463;3;1;0
5741;3;1;0
2609;3;1;1
9946;3;1;0
5956;3;1;1
9750;3;1;0
2884;3;1;0
4557;4;1;1
3587;2;1;0
7417;3;1;0
9487;3;1;0
2903;3;1;0
114;4;1;2
5034;3;1;0
2236;4;1;0
4552;3;1;0
2837;3;1;0
1627;4;1;0
9491;4;1;0
8023;3;1;0
3955;3;1;0
1766;3;1;0
5601;3;1;0
9673;3;1;0
3035;3;1;0
6794;3;1;0
2757;2;1;0
39;3;1;0
9356;3;1;0
2544;4;1;1
10255;3;1;0
5740;4;1;0
4418;3;1;0
8893;4;1;0
3354;3;1;0
3815;3;1;0
1734;4;1;1
8871;3;1;0
29;4;1;0
5501;4;1;0
8602;3;1;0
102;4;1;1
7632;3;1;1
8959;3;1;0
9893;4;1;0
3821;4;1;0
2567;4;1;1
9113;4;1;1
8513;2;1;1
5746;4;1;0
7089;3;1;0
7105;3;1;0
7141;3;1;0
2179;3;1;0
4857;3;1;0
8942;4;1;0
1475;3;1;0
8868;4;1;0
6789;3;1;0
9489;3;1;0
9492;3;1;0
2338;3;1;1
8379;3;1;0
8631;3;1;0
7447;3;1;0
3506;3;1;0
8277;4;1;1
1542;3;1;0
6162;3;1;0
510;3;1;1
6336;3;1;0
646;3;1;0
4787;3;1;0
3633;3;1;0
5292;4;1;0
506;4;1;1
6025;3;1;0
2653;4;1;1
6832;3;1;0
2832;3;1;0
6547;4;1;0
3858;3;1;0
1889;4;1;0
383;3;1;0
9987;3;1;0
6948;3;1;0
1636;4;1;0
1891;3;1;0
85;4;1;0
6717;3;1;0
4704;3;1;0
5366;4;1;1
5996;3;1;0
1877;4;1;0
274;3;1;0
541;4;1;1
819;4;1;0
9690;3;1;0
4858;3;1;0
2081;3;1;0
8203;4;1;0
9048;4;1;0
8153;4;1;1
2204;3;1;0
7956;3;1;0
7471;3;1;0
6888;3;1;0
8285;3;1;1
2652;4;1;1
8364;4;1;0
10141;3;1;0
