;NumFeatures;HasExternalRiskEstimate;SpecialValues
9760;18;1;0
4722;14;1;0
4699;12;1;0
3809;18;1;0
8402;15;1;0
757;17;1;1
3732;16;1;2
4562;16;1;3
8877;15;1;1
4993;14;1;3
7911;13;1;2
2856;13;1;1
6249;15;1;2
6981;15;1;2
10000;16;1;1
9454;18;1;0
5631;10;1;0
5995;16;1;0
8660;15;1;0
7092;15;1;0
7926;15;1;0
5338;14;1;0
7925;16;1;0
33;15;1;1
4505;15;1;2
4695;20;1;0
9151;16;1;2
6265;12;1;2
4746;15;1;1
533;12;1;2
9027;16;1;1
6943;16;1;2
8676;19;1;2
9290;17;1;1
5191;17;1;1
6839;17;1;1
8943;10;1;3
2156;16;1;1
9794;17;1;1
5463;18;1;0
5741;16;1;1
2609;18;1;2
9946;14;1;0
5956;13;1;1
9750;18;1;1
2884;17;1;3
4557;17;1;1
3587;13;1;3
7417;15;1;1
9487;14;1;1
2903;16;1;1
114;17;1;4
5034;17;1;1
2236;16;1;1
4552;16;1;3
2837;16;1;1
1627;14;1;2
9491;14;1;0
8023;16;1;1
3955;14;1;1
1766;15;1;2
5601;14;1;2
9673;17;1;1
3035;16;1;1
6794;18;1;1
2757;17;1;3
39;16;1;2
9356;18;1;2
2544;15;1;2
10255;14;1;1
5740;15;1;0
4418;17;1;2
8893;17;1;0
3354;15;1;2
3815;16;1;0
1734;15;1;4
8871;17;1;1
29;18;1;1
5501;17;1;1
8602;17;1;1
102;16;1;2
7632;16;1;2
8959;12;1;2
9893;15;1;1
3821;15;1;0
2567;20;1;4
9113;19;1;1
8513;16;1;3
5746;14;1;0
7089;15;1;2
7105;18;1;1
7141;14;1;1
2179;13;1;1
4857;15;1;0
8942;13;1;1
1475;15;1;1
8868;14;1;0
6789;19;1;0
9489;18;1;1
9492;12;1;0
2338;18;1;3
8379;13;1;1
8631;15;1;1
7447;15;1;0
3506;15;1;1
8277;17;1;1
1542;17;1;2
6162;18;1;1
510;18;1;1
6336;11;1;0
646;16;1;2
4787;15;1;1
3633;15;1;3
5292;16;1;0
506;18;1;2
6025;18;1;2
2653;16;1;1
6832;17;1;2
2832;14;1;0
6547;17;1;1
3858;15;1;0
1889;14;1;0
383;13;1;1
9987;19;1;1
6948;14;1;0
1636;16;1;2
1891;16;1;1
85;13;1;0
6717;14;1;3
4704;16;1;1
5366;16;1;3
5996;18;1;0
1877;17;1;1
274;14;1;1
541;16;1;2
819;18;1;1
9690;17;1;1
4858;17;1;2
2081;13;1;2
8203;16;1;0
9048;13;1;1
8153;16;1;3
2204;17;1;1
7956;18;1;2
7471;17;1;0
6888;17;1;3
8285;16;1;1
2652;18;1;1
8364;13;1;2
10141;18;1;1
7117;16;1;1
