;NumFeatures;HasExternalRiskEstimate;SpecialValues
9760;5;0;0
4722;3;0;0
4699;2;0;0
3809;5;0;0
8402;4;0;0
757;5;0;0
3732;4;0;0
4562;4;0;0
8877;4;0;0
4993;4;0;0
7911;2;0;0
2856;3;0;0
6249;1;0;0
6981;4;0;0
10000;4;0;0
9454;4;0;0
5631;3;0;0
5995;5;0;0
8660;4;0;0
7092;2;0;0
7926;3;0;0
5338;4;0;0
7925;5;0;0
33;1;0;0
4505;2;0;0
4695;5;0;0
9151;4;0;0
6265;2;0;0
4746;3;0;0
533;2;0;0
9027;4;0;0
6943;2;0;0
8676;4;0;0
9290;3;0;0
5191;3;0;0
6839;3;0;0
8943;2;0;0
2156;4;0;0
9794;2;0;0
5463;4;0;0
5741;4;0;0
2609;5;0;0
9946;4;0;0
5956;4;0;0
9750;4;0;0
2884;3;0;1
4557;4;0;0
3587;4;0;0
7417;1;0;0
9487;3;0;0
2903;3;0;0
114;5;0;2
5034;3;0;0
2236;3;0;0
4552;3;0;0
2837;3;0;0
1627;4;0;0
9491;3;0;0
8023;4;0;0
3955;3;0;0
1766;4;0;0
5601;3;0;0
9673;3;0;0
3035;3;0;0
6794;4;0;0
2757;3;0;0
39;4;0;0
9356;3;0;0
2544;4;0;0
10255;4;0;0
5740;1;0;0
4418;3;0;0
8893;4;0;0
3354;3;0;0
3815;3;0;0
1734;4;0;2
8871;4;0;0
29;4;0;0
5501;4;0;0
8602;3;0;0
102;2;0;0
7632;3;0;0
8959;3;0;0
9893;3;0;0
3821;5;0;0
2567;5;0;0
9113;5;0;0
8513;4;0;1
5746;4;0;0
7089;3;0;0
7105;4;0;0
7141;4;0;0
2179;3;0;0
4857;2;0;0
8942;3;0;0
1475;3;0;0
8868;4;0;0
6789;5;0;0
9489;4;0;0
9492;4;0;0
2338;3;0;0
8379;4;0;0
8631;4;0;0
7447;4;0;0
3506;4;0;0
8277;4;0;0
1542;2;0;0
6162;4;0;0
510;4;0;0
6336;4;0;0
646;5;0;0
4787;4;0;0
3633;4;0;0
5292;3;0;0
506;5;0;0
6025;4;0;0
2653;4;0;0
6832;5;0;0
2832;3;0;0
6547;3;0;0
3858;4;0;0
1889;2;0;0
383;1;0;0
9987;4;0;0
6948;3;0;0
1636;2;0;0
1891;2;0;0
85;3;0;0
6717;3;0;0
4704;3;0;0
5366;2;0;1
5996;4;0;0
1877;4;0;0
274;4;0;0
541;3;0;0
819;4;0;0
9690;3;0;0
4858;3;0;0
2081;2;0;0
8203;4;0;0
9048;2;0;0
8153;2;0;0
2204;2;0;0
7956;3;0;0
7471;4;0;0
6888;4;0;0
8285;3;0;0
2652;4;0;0
8364;3;0;0
10141;4;0;0
7117;3;0;0
7213;3;0;0
7070;1;0;0
7551;3;0;0
3631;3;0;0
9094;3;0;2
5852;4;0;0
1531;3;0;0
7937;1;0;0
9550;4;0;0
7133;3;0;0
9924;5;0;0
6298;2;0;0
3442;2;0;0
8247;0;0;0
7358;2;0;0
2212;1;0;0
6133;3;0;0
3962;2;0;1
8835;4;0;0
6770;5;0;0
4639;0;0;0
4275;2;0;0
94;3;0;0
2539;3;0;0
7071;3;0;0
6491;3;0;0
5491;3;0;0
6757;3;0;0
5772;4;0;1
5200;4;0;0
8635;3;0;0
327;5;0;0
3448;4;0;0
9254;5;0;0
1768;3;0;0
10203;3;0;0
116;4;0;0
6102;3;0;0
9595;1;0;0
3877;3;0;0
806;3;0;0
439;4;0;0
411;3;0;0
5525;3;0;0
4316;4;0;0
1792;4;0;0
9597;4;0;0
3045;2;0;0
5699;4;0;0
9827;4;0;0
117;1;0;0
8968;4;0;0
644;3;0;0
6071;2;0;0
2825;3;0;1
9863;4;0;0
3746;3;0;0
1005;3;0;0
9880;4;0;0
10085;2;0;0
3470;4;0;0
878;2;0;0
10184;4;0;0
3739;4;0;0
2695;4;0;1
9847;2;0;0
9684;4;0;0
3022;4;0;0
6685;3;0;0
10273;3;0;0
9265;3;0;0
334;2;0;0
5244;4;0;0
6525;5;0;0
7124;5;0;0
2570;4;0;0
3552;2;0;0
7815;4;0;0
3829;4;0;0
6736;4;0;0
5843;4;0;0
1618;1;0;0
7319;3;0;0
1696;4;0;0
1729;4;0;0
5817;5;0;0
813;3;0;0
3271;2;0;1
8199;5;0;2
98;3;0;0
130;4;0;0
3186;4;0;1
9964;4;0;0
613;4;0;0
7834;3;0;0
7166;4;0;0
9327;3;0;0
8523;5;0;0
7195;4;0;0
1802;4;0;2
953;4;0;0
902;3;0;0
1561;4;0;0
7009;3;0;0
8383;4;0;0
10362;1;0;0
6222;3;0;0
8662;2;0;0
5277;3;0;0
7848;3;0;0
3553;2;0;0
1490;1;0;0
10136;4;0;0
3558;3;0;0
523;5;0;0
3765;3;0;0
3012;5;0;0
4102;5;0;0
3637;2;0;2
8241;4;0;0
6488;4;0;0
8453;2;0;0
1564;2;0;0
4436;4;0;0
824;3;0;0
9853;2;0;0
5780;5;0;0
4392;4;0;0
2432;4;0;0
7839;5;0;0
4833;4;0;0
4954;2;0;0
2508;4;0;0
6509;2;0;0
8869;4;0;0
1004;3;0;0
759;2;0;0
4440;4;0;0
5917;4;0;1
6105;3;0;0
9562;2;0;1
6329;3;0;0
7902;4;0;0
5236;4;0;0
1503;3;0;0
5382;3;0;0
5224;2;0;0
9082;3;0;0
8898;4;0;0
1946;4;0;0
6476;2;0;0
8511;3;0;1
1851;4;0;0
3228;1;0;0
10422;3;0;0
3070;5;0;0
8677;3;0;0
3924;3;0;0
286;4;0;2
5532;4;0;0
7633;3;0;0
