;NumFeatures;HasExternalRiskEstimate;SpecialValues
9760;16;1;0
4722;13;1;0
4699;19;1;0
3809;15;0;0
8402;20;1;0
757;16;1;1
3732;17;0;2
4562;21;1;2
8877;19;1;1
4993;14;1;2
7911;21;1;1
2856;11;1;0
6249;19;1;2
6981;20;1;2
10000;22;1;1
9454;15;1;0
5631;16;0;0
5995;19;0;0
8660;12;0;0
7092;16;0;0
7926;23;1;0
5338;16;0;0
7925;17;1;0
33;20;1;1
4505;16;1;2
4695;13;1;0
9151;19;1;2
6265;18;1;2
4746;16;1;1
533;21;1;2
9027;19;0;1
6943;19;1;2
8676;11;0;0
9290;17;1;1
5191;22;1;1
6839;16;0;1
8943;17;0;2
2156;11;1;0
9794;13;0;1
5463;21;1;0
5741;13;1;0
2609;14;0;2
9946;15;1;0
5956;12;0;1
9750;16;0;0
2884;17;1;3
4557;21;1;1
3587;22;1;3
7417;18;1;1
9487;19;0;1
2903;17;1;1
114;20;1;4
5034;20;1;1
2236;17;1;1
4552;21;1;3
2837;20;1;1
1627;21;1;2
9491;17;0;0
8023;15;1;1
3955;17;1;1
1766;5;0;0
5601;18;1;1
9673;20;1;1
3035;22;1;1
6794;20;1;1
2757;18;1;3
39;8;0;1
9356;18;1;2
2544;21;1;2
10255;19;1;1
5740;18;1;0
4418;7;0;1
8893;20;1;0
3354;16;1;1
3815;19;1;0
1734;9;0;3
8871;13;0;0
29;22;1;1
5501;19;1;0
8602;17;1;1
102;11;0;1
7632;20;0;2
8959;19;1;1
9893;15;1;1
3821;17;0;0
2567;21;1;4
9113;17;1;1
8513;21;1;2
5746;16;0;0
7089;15;1;1
7105;14;1;0
7141;22;1;1
2179;18;1;1
4857;22;1;0
8942;18;1;1
1475;22;1;1
8868;11;1;0
6789;15;1;0
9489;17;0;1
9492;16;0;0
2338;7;0;2
8379;18;1;1
8631;16;0;0
7447;7;1;0
3506;22;1;1
8277;20;1;1
1542;18;1;2
6162;16;0;1
510;19;1;0
6336;11;1;0
646;14;1;1
4787;21;1;1
3633;19;1;2
5292;19;1;0
506;16;1;1
6025;19;1;0
2653;18;0;1
6832;6;1;1
2832;17;1;0
6547;12;0;0
3858;12;0;0
1889;21;1;0
383;19;1;1
9987;11;0;0
6948;15;0;0
1636;18;1;1
1891;15;1;0
85;20;1;0
6717;20;1;2
4704;21;1;1
5366;22;1;3
5996;16;0;0
1877;11;0;1
274;16;1;1
541;22;0;2
819;17;0;1
9690;12;0;0
4858;12;0;1
2081;19;1;1
8203;14;0;0
9048;23;1;1
8153;13;1;2
2204;14;0;1
7956;13;0;2
7471;11;0;0
6888;17;1;3
8285;13;1;1
2652;16;1;1
8364;18;1;1
10141;4;0;0
7117;20;1;1
7213;23;1;1
7070;13;0;1
7551;20;1;3
3631;22;1;2
9094;16;1;3
5852;11;1;0
1531;10;0;0
7937;21;0;0
9550;18;0;1
7133;21;0;0
9924;15;1;0
6298;18;0;1
3442;18;0;1
8247;16;0;0
7358;13;0;1
2212;9;0;0
6133;21;0;1
3962;14;1;1
8835;13;0;0
6770;16;1;0
4639;19;1;0
4275;17;0;1
94;8;0;0
2539;6;0;0
7071;10;0;0
6491;20;1;1
5491;19;0;1
6757;21;1;1
5772;18;1;2
5200;15;0;1
8635;18;1;2
327;13;1;0
3448;11;0;0
9254;20;1;1
1768;17;1;1
10203;17;1;1
116;13;0;2
6102;17;1;2
9595;22;1;0
3877;19;1;3
806;20;0;0
439;16;0;1
411;16;1;1
5525;18;1;1
4316;22;1;1
1792;17;1;0
9597;9;1;0
3045;17;1;1
5699;16;0;1
9827;23;1;0
117;15;1;2
8968;10;1;0
644;20;1;0
6071;12;0;1
2825;22;1;3
9863;7;0;1
3746;17;0;1
1005;20;1;0
9880;22;1;1
10085;19;1;3
3470;20;1;4
878;15;1;2
10184;16;0;0
3739;10;0;1
2695;15;1;1
9847;21;1;1
9684;19;1;2
3022;20;1;2
6685;21;1;3
10273;19;1;1
9265;17;1;0
334;18;1;1
5244;13;0;1
6525;10;0;0
7124;17;1;0
2570;19;0;2
3552;19;0;2
7815;19;0;1
3829;16;0;2
6736;11;1;2
5843;14;1;0
1618;17;1;0
7319;8;0;0
1696;19;0;0
1729;15;1;1
5817;13;1;0
813;15;1;1
3271;15;0;2
8199;16;1;4
98;16;1;1
130;14;1;1
3186;20;1;1
9964;14;1;0
613;20;1;1
7834;14;1;0
7166;23;1;1
9327;15;1;1
8523;17;1;0
7195;16;1;0
1802;18;1;5
953;18;0;0
902;12;1;1
1561;10;0;1
7009;17;0;1
8383;19;1;0
10362;17;1;2
6222;13;1;1
8662;17;1;1
5277;22;0;0
7848;18;1;1
3553;21;1;1
1490;18;1;1
10136;17;0;0
3558;20;1;0
523;12;0;1
3765;18;0;0
3012;11;1;0
4102;16;1;0
3637;22;1;3
8241;13;1;0
6488;19;1;1
8453;13;1;0
1564;17;1;1
4436;11;1;0
824;21;1;1
9853;22;1;2
5780;20;1;0
4392;18;0;0
2432;11;0;0
7839;8;1;0
4833;20;1;1
4954;19;0;0
2508;11;1;1
6509;11;0;0
8869;19;0;1
1004;16;1;1
759;11;0;0
4440;14;0;1
5917;18;1;1
6105;18;1;1
9562;19;1;1
6329;14;0;0
7902;18;1;0
5236;21;0;0
1503;22;1;1
5382;13;1;1
5224;17;0;1
9082;8;0;1
8898;21;0;1
1946;19;1;0
6476;21;1;1
8511;17;1;4
1851;16;1;2
3228;22;1;1
10422;21;1;2
3070;17;1;1
8677;22;1;0
3924;19;1;1
286;19;1;4
5532;23;1;2
7633;21;1;3
4528;16;0;2
9748;17;1;1
8028;13;1;0
9836;17;0;1
3256;17;1;1
5259;20;1;2
9216;13;1;0
7330;15;0;1
6606;14;1;1
3380;15;0;0
8557;17;1;2
679;17;1;2
7410;20;0;0
2898;17;1;1
8136;16;1;2
7219;14;0;0
6389;21;1;4
9980;19;1;1
2633;21;1;2
7280;14;1;1
3318;16;1;1
992;16;1;1
3497;20;0;0
5531;19;0;1
9202;20;1;2
7495;7;1;0
7333;21;1;2
6231;17;0;1
566;22;1;3
9023;14;1;0
7497;12;0;1
326;22;1;1
2495;13;1;1
7741;19;0;0
3040;21;1;1
4519;22;1;2
9364;17;0;2
5806;16;0;1
4314;22;1;1
3892;15;1;1
3961;17;1;1
3464;15;1;1
369;14;1;1
4113;16;1;1
7232;13;1;0
8033;16;0;0
462;11;1;0
6652;14;1;1
7714;6;0;0
9176;12;1;3
3;16;1;0
8681;20;0;0
1928;18;1;2
6500;17;1;0
4339;20;1;2
9017;22;1;3
313;20;1;0
1056;16;0;1
8382;20;1;2
2547;15;1;4
8985;17;0;1
7509;16;1;1
671;16;1;1
9695;16;1;1
8320;15;1;1
6307;16;1;1
5121;21;1;2
5727;17;0;1
7063;16;0;0
148;18;1;2
4132;22;1;0
8939;18;1;1
591;20;0;2
3658;19;1;0
3039;18;0;0
6706;20;1;1
3334;13;1;3
7231;17;1;2
6622;19;1;1
9910;19;0;1
8861;16;0;3
7328;20;1;0
4725;11;1;1
5682;14;0;0
2382;17;1;2
4669;21;0;1
2187;16;1;0
5136;12;0;1
9506;9;0;0
8117;8;1;0
8773;17;1;2
2598;16;1;2
9661;15;1;1
6357;22;1;2
4624;17;1;1
3408;20;1;0
5724;20;1;1
555;21;1;2
2107;18;1;1
3527;19;0;2
6489;20;1;0
10174;22;1;1
8604;19;0;0
5521;13;1;0
6407;11;0;0
3509;17;1;1
3287;17;1;1
7036;15;1;1
9986;22;1;1
3910;11;0;1
6144;22;0;0
10155;19;1;1
1994;15;0;0
1487;16;0;2
6114;14;0;1
2151;16;0;1
2656;12;0;1
599;14;0;2
2885;11;1;0
3357;12;0;0
8752;18;1;1
4076;15;1;0
10278;18;1;3
6453;20;0;1
344;13;1;0
10047;19;1;3
9505;17;0;0
8946;17;0;0
7989;18;1;0
8159;19;1;2
9902;21;1;0
5432;15;1;1
8165;22;1;1
4470;16;1;2
8444;22;1;1
7387;12;0;0
4478;14;1;1
10318;12;1;0
3450;21;1;2
7540;8;0;0
965;18;1;1
884;20;1;1
3215;9;1;1
9212;17;1;2
353;10;0;0
7493;15;1;1
4453;11;0;4
8286;17;1;1
9476;19;1;2
4877;15;0;2
157;13;0;1
3893;22;1;0
390;22;1;1
10272;20;1;1
5784;20;0;1
4587;15;1;1
356;22;1;2
9133;10;0;1
4286;20;0;1
1915;23;1;2
2843;8;0;0
3058;12;1;0
1917;20;1;0
7236;18;1;1
1607;22;1;1
7522;18;1;1
6428;17;1;1
9229;17;1;1
4202;20;0;1
7742;11;1;1
1575;19;0;0
3170;21;1;2
5586;19;1;1
1860;15;0;0
10153;19;1;3
4302;16;0;0
8667;13;1;0
660;17;1;1
5887;17;0;2
8312;14;1;1
8558;16;1;1
1506;4;0;0
8105;18;1;1
5827;17;1;0
9268;15;1;1
9895;19;0;1
5824;16;1;0
2376;19;1;2
6463;13;1;0
6615;15;0;1
2873;12;1;0
14;19;0;4
8326;15;1;0
4408;6;0;0
7877;17;1;0
5063;22;1;1
5147;6;0;2
0;20;1;1
4760;18;1;2
8303;18;1;1
6918;9;1;0
372;19;1;1
8804;22;0;1
5519;21;1;1
5535;21;0;0
480;12;1;0
8181;20;0;0
8771;21;1;7
3820;17;1;1
7743;14;1;0
5672;19;0;1
7729;19;0;0
144;20;0;0
7786;17;1;1
7790;12;0;0
1509;17;0;1
9059;14;1;0
8903;13;1;0
8250;19;0;0
9437;21;0;0
9044;16;1;1
10128;21;1;2
5004;10;1;1
1821;7;0;0
6275;20;0;2
1526;20;1;1
5159;13;0;0
3744;12;1;1
986;9;0;0
2672;19;1;1
2360;9;1;0
9842;17;1;1
7453;20;1;3
8913;20;0;1
288;19;0;0
6860;19;0;0
2669;18;1;1
737;19;1;1
4663;15;0;1
3886;15;1;2
8240;12;0;0
10313;19;1;0
5894;19;1;2
8409;20;1;0
339;19;1;2
5856;11;0;0
2535;15;1;1
8836;15;1;0
10022;19;0;1
4767;17;0;1
4924;20;1;0
10114;19;1;2
3557;22;1;2
110;11;0;1
3752;18;1;0
3797;13;1;1
2549;17;0;2
5696;17;1;1
8610;20;1;0
3477;20;1;1
4197;3;0;0
8406;19;1;0
3554;19;1;1
2905;16;1;0
2760;22;1;3
9134;18;1;1
7519;20;0;1
9553;18;0;1
3429;13;0;0
7674;17;0;2
999;16;1;1
4586;18;0;2
2444;6;0;1
3957;17;1;2
4929;21;1;0
7762;16;1;3
8647;18;1;0
590;20;1;2
6627;16;0;1
8005;18;0;0
9527;18;0;2
2103;15;1;1
9115;21;1;2
8753;19;0;1
8448;20;1;2
9456;20;1;0
697;20;1;2
1680;19;1;0
5267;20;1;0
8204;20;1;1
6864;13;1;1
1574;12;0;2
6096;12;1;1
3111;19;1;1
789;16;1;1
7992;17;1;0
1758;7;1;1
3678;21;1;1
36;18;1;0
2933;18;1;3
6718;19;1;2
5775;20;1;2
8257;21;1;1
8632;21;1;0
5734;16;1;0
7827;19;1;1
600;17;0;0
5246;9;0;0
9390;18;0;3
4201;20;1;0
5936;14;0;1
3461;18;0;1
1931;19;1;1
8132;13;1;0
1837;17;1;0
6437;14;0;0
3460;17;1;2
2603;22;1;2
9628;14;1;0
3599;15;1;1
4381;21;1;1
10415;22;1;1
8792;15;0;1
47;18;1;1
6972;19;0;1
9650;18;1;0
7977;21;1;3
2641;20;1;1
1666;12;0;0
2875;7;0;0
7415;14;0;0
3532;19;1;3
3109;21;1;1
4874;17;0;0
9621;16;1;2
5754;22;1;1
9709;20;1;1
6039;11;0;0
7798;18;1;1
2244;19;0;1
2069;9;0;4
8083;22;1;4
2492;23;1;2
1643;17;0;0
8462;15;0;5
785;16;1;1
5315;19;1;1
5589;12;0;0
6613;22;1;3
9161;18;1;1
6124;13;0;1
2270;19;1;2
2778;14;0;2
5288;15;1;1
3162;14;1;1
4313;22;0;2
9346;20;1;1
4912;12;0;2
4338;12;0;0
3984;13;0;2
6236;19;1;0
9611;20;1;2
7943;18;1;2
3971;16;0;2
3806;11;1;1
9010;18;1;1
9370;21;1;0
609;18;0;2
5240;15;1;0
2690;9;0;0
4485;17;1;1
358;13;1;0
6847;21;1;2
6083;9;0;0
9291;18;1;0
2630;21;1;1
3578;21;1;3
1495;7;0;1
23;16;0;0
3173;14;0;0
5055;9;0;0
5294;19;1;0
404;18;1;2
5440;18;1;2
2893;13;1;1
8983;13;1;0
5732;19;1;1
10123;18;1;1
3857;16;1;1
6833;18;0;1
8813;11;0;0
9580;14;1;1
9438;21;1;2
6590;13;1;0
6394;18;1;0
10452;16;1;1
6698;22;1;1
5495;16;0;1
5484;21;1;0
1812;14;1;1
7484;19;0;1
9584;21;1;1
4715;18;1;1
6194;11;1;0
1832;17;1;1
5220;14;1;0
2102;14;0;0
5717;11;0;0
5079;14;0;1
10165;14;1;1
5983;14;1;0
4809;11;1;1
818;17;1;2
3490;19;1;1
6610;19;1;1
3105;10;0;1
5488;21;1;1
6406;13;1;0
5064;21;1;0
8740;16;0;0
7586;19;1;2
4362;21;1;2
7986;18;1;1
5192;15;0;0
3474;21;1;5
9234;20;1;1
1977;14;1;0
788;9;1;0
309;21;1;3
2487;20;1;3
3621;20;1;0
9259;16;1;1
10342;16;1;1
2569;23;1;2
7711;16;1;3
1962;23;1;1
10277;21;1;0
586;19;1;1
314;11;0;0
9442;11;0;0
8119;19;1;2
6873;13;0;0
190;15;1;1
290;16;0;0
1664;21;1;1
6863;21;1;1
1602;18;1;0
338;11;0;1
2400;22;1;2
7253;14;1;1
2962;22;1;0
268;19;1;1
8327;19;0;1
9126;18;1;2
1987;17;1;1
50;22;1;2
4923;17;1;2
8350;13;1;1
2671;14;0;1
5162;20;1;2
10431;14;1;1
9557;21;1;0
6145;17;0;1
8049;19;0;2
6818;10;0;0
9129;22;0;2
271;22;1;1
4524;18;1;2
8272;14;0;2
8479;16;1;2
9912;12;1;0
6884;17;0;1
2755;12;1;2
2027;20;0;1
7769;15;1;1
3332;6;0;0
6940;20;1;1
6579;15;0;1
8492;21;1;2
7873;15;1;0
10250;16;1;2
470;17;1;0
8031;20;1;1
7789;18;1;3
1062;19;0;0
9622;19;1;2
3247;18;1;0
707;12;1;0
7675;15;1;1
994;19;1;3
5076;17;1;2
5865;13;0;1
8256;17;1;0
3824;18;1;2
2936;16;0;1
341;18;0;0
3884;20;0;1
7683;20;0;2
9271;19;1;1
9006;17;1;1
399;16;1;0
433;20;1;0
5758;17;1;1
4788;22;1;2
4211;21;1;1
5080;20;1;2
5130;12;0;0
2036;17;0;2
2222;8;0;0
7096;21;1;1
6712;18;1;1
7791;16;1;1
10317;17;0;1
2042;22;1;0
5985;17;0;0
6188;15;1;2
297;21;1;2
2782;17;1;1
8738;15;1;2
7455;19;1;0
6147;18;0;0
5370;19;1;2
7316;11;1;0
3368;16;1;0
8529;15;0;1
4421;23;1;1
3862;21;1;0
3504;17;1;2
6526;19;1;1
7580;11;1;1
2150;13;0;1
8009;22;1;0
6978;18;1;1
1749;8;0;1
5092;20;0;0
6369;21;1;2
10069;15;1;1
5059;23;1;1
5849;12;1;0
3445;16;0;1
5208;19;1;1
1788;22;1;0
5270;11;0;0
9607;14;1;1
6413;23;1;3
2680;16;0;2
4196;8;0;0
5054;20;1;1
536;14;0;1
10225;19;1;1
7955;20;0;2
2764;17;1;3
3537;22;0;0
3480;18;0;1
