;ExternalRiskEstimate;MSinceOldestTradeOpen;AverageMInFile;NumSatisfactoryTrades;NumTrades60Ever2DerogPubRec;NumTrades90Ever2DerogPubRec;PercentTradesNeverDelq;MSinceMostRecentDelq;NumTradesOpeninLast12M;PercentInstallTrades;MSinceMostRecentInqexcl7days;NumInqLast6M;NumInqLast6Mexcl7days;NetFractionRevolvingBurden;NetFractionInstallBurden;NumRevolvingTradesWBalance;NumBank2NatlTradesWHighUtilization;PercentTradesWBalance;MaxDelq2PublicRecLast12M_6;MaxDelq2PublicRecLast12M_8;MaxDelq2PublicRecLast12M_9;MaxDelqEver_2;MaxDelqEver_5;MaxDelqEver_8
9760;0,8923998;-0,02149596;0,14946236;-0,17857693;0,020239819;0,0008977903;0,23671032;0,034775786;0,04939214;-0,032359455;0,21626073;0,106879316;0,011756783;0,18526883;0,10835437;0,048453987;-0,001546199;-0,033468116;-0,0154491225;0,0010530415;0,0;0,00016807164;-0,005920459;0,00072890485
4722;0,77271163;-0,037735328;-0,16419253;-0,06913809;-0,0011178907;-0,00083189795;0,18877655;0,05802668;3,1863165e-05;-0,061211817;-0,5148717;-0,03035856;-0,012757455;0,11090588;0,029703036;0,014136985;-0,008144156;-0,013005503;0,052752163;0,00067378214;0,0;0,00016807164;0,0006764094;0,00051486684
4699;-0,42189473;-0,038317323;-0,0137352785;-0,0211786;-0,0015576629;-0,00083189795;0,09827373;-0,06360134;-0,0028019594;0,20446312;-0,5126907;-0,028341714;-0,007966769;0,16779894;-0,022265071;-0,03007683;-0,019214166;-0,02432661;-0,015700877;0,00021851642;0,0;9,9033234e-05;0,0018291674;0,0015669786
3809;-0,001157017;-0,038337704;-0,16829592;0,00042552932;0,02046725;0,0008977903;0,24592458;0,054588694;-0,01521604;-0,07605953;0,24212869;0,17508873;0,015137937;0,113970965;0,06292706;-0,032706477;0,005745218;-0,03675185;0,054462723;0,00013821195;0,0;0,00016807164;0,00027327047;0,0008625926
8402;1,0501357;-0,031445894;0,12737685;-0,08227185;-0,0015925411;-0,00028135313;-0,19800311;0,011784738;0,009204325;-0,043285307;0,20437056;0,0062547745;-0,0042359503;-0,13830817;0,03626554;0,019104201;-0,021065023;-0,03356626;0,08299187;0,0002034472;0,0;0,00016807164;0,002590023;0,00051486684
757;0,7513596;0,206783;0,27161404;0,15739848;0,012339609;0,0026541501;0,48494518;0,044329595;0,010111889;0,17750427;-0,36239752;-0,020865683;-0,011892665;-0,120904475;-0,04461957;-0,026716115;0,11183919;-0,046402026;0,056794323;-0,009671385;0,0;9,9033234e-05;0,0027645219;0,00127999
3732;0,2923649;-0,07705171;-0,2364764;-0,14204569;0,015549891;0,0026541501;-0,29499266;0,028991425;0,0014500278;-0,049283374;-0,436821;-0,027792756;-0,011858556;-0,17893267;-0,021838447;-0,042934414;-0,016352067;-0,027298586;-0,019856345;3,396967e-05;0,0;0,00016807164;0,00029347235;0,00051486684
4562;-0,9217898;0,3575763;0,051030044;0,3298477;-0,006306289;-0,00028135313;-0,17162278;0,026128436;0,0022557497;-0,0989045;0,2545418;-0,017855052;0,0047473884;-0,2858653;-0,015371498;-0,0559937;-0,026995579;0,054857526;-0,012576742;-0,0007929713;0,0;0,00016807164;0,0004626145;-0,00070607977
8877;-0,6122816;0,31553763;0,35256466;0,33188868;-0,0066541084;-0,00028135313;-0,1348468;0,023225002;0,0057819057;0,25780147;0,28947514;-0,0042758123;0,015135857;-0,21925169;0,0069803465;-0,036757186;-0,027752645;-0,023489093;-0,009429045;0,004716823;0,0;9,9033234e-05;0,00089899846;-0,00070607977
4993;-0,91643494;-0,19677512;-0,20632116;0,3250391;-0,003503678;-0,00028135313;-0,16261628;0,01463156;-0,00083657727;-0,0105707375;-0,79906476;-0,033044856;-0,030774124;-0,29532844;-0,004650172;-0,062763594;-0,02875693;-0,016160596;-0,012611138;-0,00054465095;0,0;0,00016807164;0,00024796015;-0,00028401552
7911;-0,47144488;-0,01899189;-0,17016537;0,4007135;0,0176096;-0,00028135313;0,30542687;-0,071119696;-0,0016500519;0,12082553;-1,119899;-0,043731626;-0,017999237;-0,05609289;0,0010739794;-0,006678626;-0,02023057;-0,010192417;-0,013470331;-0,00040733354;0,0;0,00016807164;-0,0018335705;0,0015669786
2856;-0,7495472;0,16766809;0,49025753;-0,064895876;-0,004024948;-0,0008318979;-0,06175738;-0,14782208;0,004830682;-0,026215151;-0,48992324;-0,020630004;-0,009531064;-0,11468988;-0,01389014;0,06516657;-0,020246433;-0,023141308;-0,0073688454;-0,00038444507;0,0;0,0012409849;0,0004626145;0,00127999
