;NumFeatures;HasExternalRiskEstimate;SpecialValues
9760;4;1;0
4722;5;1;0
4699;4;1;0
3809;4;1;0
8402;4;1;0
757;5;1;0
3732;5;1;0
4562;5;1;1
8877;4;1;0
4993;5;1;1
7911;5;1;1
2856;5;1;0
6249;4;1;0
6981;4;1;0
10000;4;1;0
9454;4;1;0
5631;4;1;0
5995;4;1;0
8660;5;1;0
7092;4;1;0
7926;4;1;0
5338;4;1;0
7925;4;1;0
33;3;1;0
4505;5;1;1
4695;5;1;0
9151;5;1;1
6265;5;1;1
4746;5;1;0
533;3;1;1
9027;4;1;0
6943;5;1;0
8676;5;1;0
9290;5;1;0
5191;5;1;0
6839;4;1;0
8943;4;1;0
2156;3;1;0
9794;4;1;0
5463;5;1;0
5741;4;1;0
2609;5;1;2
9946;4;1;0
5956;5;1;1
9750;5;1;0
2884;5;1;1
4557;5;1;1
3587;5;1;1
7417;4;1;0
9487;4;1;0
2903;5;1;0
114;5;1;1
5034;5;1;0
2236;4;1;0
4552;5;1;1
2837;5;1;0
1627;4;1;0
9491;4;1;0
8023;5;1;0
3955;5;1;0
1766;4;1;0
5601;4;1;0
9673;5;1;0
3035;5;1;0
6794;4;1;0
2757;5;1;1
39;4;1;0
9356;5;1;0
2544;5;1;1
10255;5;1;0
5740;4;1;0
4418;4;1;0
8893;4;1;0
3354;5;1;0
3815;4;1;0
1734;4;1;1
8871;4;1;0
29;4;1;0
5501;4;1;0
8602;5;1;0
102;5;1;1
7632;5;1;1
8959;4;1;0
9893;4;1;0
3821;4;1;0
2567;5;1;1
9113;5;1;1
8513;5;1;1
5746;4;1;0
7089;4;1;0
7105;5;1;0
7141;4;1;0
2179;4;1;0
4857;5;1;0
8942;4;1;0
1475;4;1;0
8868;4;1;0
6789;5;1;0
9489;4;1;0
9492;4;1;0
2338;5;1;1
8379;4;1;0
8631;5;1;0
7447;4;1;0
3506;5;1;0
8277;5;1;1
1542;4;1;0
6162;5;1;0
510;5;1;1
6336;4;1;0
646;5;1;0
4787;5;1;0
3633;5;1;1
5292;4;1;0
506;5;1;1
6025;5;1;0
2653;5;1;1
6832;5;1;0
2832;5;1;0
6547;4;1;0
3858;5;1;0
1889;4;1;0
383;4;1;0
9987;4;1;0
6948;5;1;0
1636;4;1;0
1891;4;1;0
85;4;1;0
6717;5;1;1
4704;5;1;0
5366;5;1;1
5996;5;1;0
1877;4;1;0
274;4;1;0
541;5;1;1
819;4;1;0
9690;5;1;0
4858;5;1;0
2081;4;1;0
8203;4;1;0
9048;4;1;0
8153;5;1;2
2204;4;1;0
7956;5;1;0
7471;4;1;0
6888;4;1;0
8285;5;1;1
2652;5;1;1
8364;4;1;0
10141;5;1;0
7117;4;1;0
7213;4;1;0
7070;5;1;1
7551;5;1;1
3631;5;1;0
9094;5;1;2
5852;4;1;0
1531;4;1;0
7937;4;1;0
9550;5;1;1
7133;4;1;0
9924;4;1;0
6298;5;1;0
3442;5;1;0
8247;4;1;0
7358;4;1;0
2212;3;1;0
6133;5;1;1
3962;5;1;1
8835;5;1;0
6770;5;1;0
4639;4;1;0
4275;4;1;0
94;4;1;0
2539;5;1;1
7071;5;1;0
6491;4;1;0
5491;5;1;0
6757;5;1;0
5772;4;1;0
5200;4;1;0
8635;5;1;0
327;4;1;0
3448;5;1;0
9254;5;1;0
1768;4;1;0
10203;5;1;0
116;5;1;1
6102;4;1;0
9595;3;1;0
3877;5;1;0
806;5;1;0
439;4;1;0
411;4;1;0
5525;5;1;0
4316;4;1;0
1792;4;1;0
9597;5;1;0
3045;5;1;0
5699;4;1;0
9827;4;1;0
117;5;1;2
8968;4;1;0
644;5;1;0
6071;4;1;0
2825;5;1;0
9863;4;0;0
3746;5;1;0
1005;5;1;0
9880;4;1;0
10085;5;1;1
3470;5;1;1
878;5;1;0
10184;5;1;0
3739;5;1;0
2695;5;1;1
9847;4;1;0
9684;5;1;0
3022;5;1;1
6685;5;1;1
10273;5;1;0
9265;5;1;0
334;4;1;0
5244;4;1;0
6525;4;1;0
7124;4;1;0
2570;5;1;1
3552;4;1;0
7815;4;1;0
3829;5;1;1
6736;5;1;1
5843;4;1;0
1618;3;1;0
7319;4;1;0
1696;4;1;0
1729;4;1;0
5817;4;1;0
813;5;1;0
3271;5;1;1
8199;4;1;0
98;5;1;1
130;5;1;1
3186;4;1;1
9964;4;1;0
613;5;1;1
7834;4;1;0
7166;4;1;0
9327;5;1;0
8523;5;1;1
7195;4;1;0
1802;4;1;0
953;4;1;0
902;5;1;0
1561;4;1;0
7009;4;1;0
8383;4;1;0
10362;5;1;0
6222;5;1;1
8662;4;1;0
5277;3;1;0
7848;5;1;0
3553;5;1;0
1490;4;1;0
10136;4;1;0
3558;4;1;0
523;5;1;1
3765;5;1;0
3012;5;1;0
4102;4;1;0
3637;5;1;1
8241;4;1;0
6488;4;1;0
8453;4;1;0
1564;4;1;0
4436;4;1;0
824;5;1;0
9853;4;1;0
5780;4;1;0
4392;4;1;0
2432;5;1;1
7839;4;1;0
4833;5;1;1
4954;5;1;0
2508;5;1;1
6509;4;1;0
8869;4;1;0
1004;5;1;0
759;5;1;0
4440;4;1;0
5917;5;1;1
6105;4;1;0
9562;5;1;1
6329;4;1;0
7902;4;1;0
5236;4;1;0
1503;4;1;0
5382;5;1;1
5224;4;1;0
9082;5;1;1
8898;3;1;0
1946;4;1;0
6476;4;1;0
8511;5;1;1
1851;4;1;0
3228;4;1;0
10422;5;1;0
3070;5;1;0
8677;4;1;0
3924;5;1;0
286;4;1;0
5532;5;1;0
7633;5;1;1
4528;5;1;1
9748;5;1;0
8028;4;1;0
9836;4;1;0
3256;5;1;1
5259;4;1;0
9216;4;1;0
7330;4;1;0
6606;5;1;1
3380;4;1;0
8557;5;1;1
679;4;1;0
7410;4;1;0
2898;5;1;0
8136;5;1;0
7219;4;1;0
6389;4;1;1
9980;4;1;0
2633;5;1;1
7280;4;1;0
3318;4;1;0
992;5;1;0
3497;4;1;0
5531;4;1;0
9202;5;1;0
7495;5;1;1
7333;4;1;0
6231;5;1;0
566;5;1;1
9023;4;1;0
7497;5;1;1
326;4;1;0
2495;5;1;1
7741;5;1;0
3040;4;1;0
4519;5;1;1
9364;4;1;0
5806;4;1;0
4314;2;1;0
3892;5;1;0
3961;4;1;0
3464;5;1;0
369;4;1;0
4113;4;1;0
7232;4;1;0
8033;5;1;1
462;4;1;0
6652;5;1;1
7714;5;1;0
9176;5;1;0
3;4;1;0
8681;3;1;0
1928;4;1;0
6500;4;1;0
4339;4;1;0
9017;3;1;0
313;4;1;0
1056;5;1;0
8382;4;1;0
2547;5;1;1
8985;4;1;0
7509;5;1;1
671;5;1;0
9695;5;1;0
8320;5;1;0
6307;5;1;0
5121;4;1;0
5727;4;1;0
7063;5;1;0
148;5;1;0
4132;4;1;0
8939;4;1;0
591;5;1;1
3658;5;1;0
3039;5;1;0
6706;5;1;1
3334;3;1;0
7231;4;1;0
6622;5;1;1
9910;4;1;0
8861;5;0;0
7328;4;1;0
4725;4;1;0
5682;4;1;0
2382;5;1;1
4669;5;1;0
2187;4;1;0
5136;4;1;0
9506;4;1;0
8117;5;1;0
8773;4;1;1
2598;5;1;1
9661;4;1;0
6357;4;1;0
4624;5;1;0
3408;4;1;0
5724;4;1;0
555;5;1;1
2107;4;1;0
3527;5;1;1
6489;4;1;0
10174;5;1;0
8604;5;1;0
5521;5;1;0
6407;4;1;0
3509;5;1;1
3287;5;1;0
7036;5;1;0
9986;4;1;0
3910;3;1;0
6144;5;1;0
10155;5;1;1
1994;4;1;0
1487;4;1;0
6114;4;1;0
2151;4;1;0
2656;5;1;1
599;5;1;1
2885;4;1;0
3357;4;1;0
8752;5;1;1
4076;4;1;0
10278;5;1;1
6453;4;1;0
344;4;1;0
10047;5;1;1
9505;4;1;0
8946;4;1;0
7989;5;1;1
8159;5;1;0
9902;4;1;0
5432;5;1;0
8165;5;1;0
4470;4;1;1
8444;4;1;0
7387;4;1;0
4478;5;1;1
10318;5;1;0
3450;5;1;0
7540;4;1;0
965;4;1;0
884;5;1;0
3215;4;1;1
9212;4;1;0
353;4;1;0
7493;5;1;1
4453;4;1;0
8286;5;1;1
9476;4;1;0
4877;5;1;0
157;5;1;0
3893;5;1;0
390;4;1;0
10272;4;1;0
5784;4;1;0
4587;5;1;1
356;4;1;0
9133;5;1;1
4286;4;1;0
1915;4;1;0
2843;5;1;0
3058;4;1;0
1917;4;1;0
7236;4;1;0
1607;3;1;0
7522;5;1;1
6428;4;1;0
9229;4;1;0
4202;4;1;0
7742;5;1;0
1575;4;1;0
3170;5;1;0
5586;3;1;0
1860;3;1;0
10153;5;1;1
4302;4;1;0
8667;5;1;0
660;5;1;0
5887;5;1;1
8312;5;1;0
8558;5;1;0
1506;4;1;0
8105;4;1;0
5827;4;1;0
9268;5;1;0
9895;3;1;0
5824;4;1;0
2376;4;1;1
6463;4;1;0
6615;5;1;1
2873;5;1;0
14;4;1;1
8326;5;1;0
4408;4;1;0
7877;5;1;0
5063;4;1;0
5147;5;1;1
0;4;1;0
4760;5;1;1
8303;4;1;0
6918;4;1;0
372;4;1;0
8804;5;1;0
5519;4;1;0
5535;4;1;0
480;4;1;0
8181;4;1;0
8771;5;1;1
3820;5;1;0
7743;4;1;0
5672;4;1;0
7729;5;1;0
144;5;1;0
7786;4;1;0
7790;5;1;0
1509;4;1;0
9059;4;1;0
8903;4;1;0
8250;3;1;0
9437;4;1;0
9044;3;1;0
10128;5;1;1
5004;5;1;0
1821;4;1;0
6275;5;1;0
1526;4;1;0
5159;5;1;1
3744;5;1;1
986;5;1;0
2672;5;1;1
2360;5;1;1
9842;4;1;0
7453;4;1;0
8913;3;1;0
288;4;1;0
6860;5;1;0
2669;5;1;1
737;5;1;1
4663;5;1;0
3886;5;1;0
8240;4;1;0
10313;5;1;0
5894;5;1;1
8409;4;1;0
339;3;1;0
5856;4;1;0
2535;5;1;1
8836;5;1;0
10022;5;1;1
4767;3;1;0
4924;5;1;0
10114;5;1;1
3557;5;1;0
110;5;1;1
3752;5;1;0
3797;5;1;0
2549;4;1;1
5696;4;1;0
8610;5;1;0
3477;5;1;1
4197;4;1;0
8406;4;1;0
3554;5;1;0
2905;5;1;0
2760;5;1;1
9134;5;1;1
7519;5;1;1
9553;5;1;1
3429;4;1;0
7674;5;1;1
999;5;1;0
4586;5;1;1
2444;5;0;1
3957;5;1;0
4929;4;1;0
7762;4;1;1
8647;5;1;0
590;5;1;1
6627;5;1;1
8005;5;1;0
9527;4;1;0
2103;4;1;0
9115;5;1;1
8753;5;1;1
8448;4;1;1
9456;4;1;0
697;5;1;0
1680;4;1;0
5267;4;1;0
8204;4;1;0
6864;5;1;0
1574;4;1;0
6096;4;1;0
3111;5;1;0
789;5;1;1
7992;4;1;0
1758;4;1;0
3678;4;1;0
36;4;1;0
2933;5;1;0
6718;5;1;1
5775;3;1;0
8257;4;1;0
8632;4;1;0
5734;4;1;0
7827;5;1;0
600;4;1;1
5246;4;1;0
9390;5;1;1
4201;4;1;0
5936;5;1;1
3461;4;1;0
1931;4;1;0
8132;5;1;0
1837;4;1;0
6437;4;1;0
3460;5;1;1
2603;5;1;2
9628;4;1;0
3599;5;1;0
4381;3;1;0
10415;5;1;0
8792;4;1;0
47;4;1;0
6972;5;1;0
9650;5;1;0
7977;5;1;1
2641;5;1;1
1666;4;1;0
2875;4;1;0
7415;4;1;0
3532;5;1;1
3109;3;1;0
4874;4;1;0
9621;4;1;0
5754;4;1;0
9709;5;1;0
6039;5;1;0
7798;5;1;0
2244;5;1;1
2069;4;1;0
8083;4;1;1
2492;5;1;1
1643;4;1;0
8462;5;1;1
785;5;1;0
5315;4;1;0
5589;4;1;0
6613;5;1;1
9161;5;1;1
6124;4;1;0
2270;5;1;1
2778;5;1;1
5288;4;1;0
3162;5;1;0
4313;4;1;0
9346;5;1;0
4912;5;1;1
4338;4;1;0
3984;5;1;0
6236;5;1;0
9611;5;1;0
7943;4;1;0
3971;5;1;0
3806;3;1;0
9010;4;1;0
9370;5;1;0
609;5;1;1
5240;4;1;0
2690;5;1;1
4485;5;1;1
358;4;1;0
6847;4;1;0
6083;5;1;0
9291;5;1;0
2630;5;1;1
3578;5;1;1
1495;4;1;0
23;4;1;0
3173;4;1;0
5055;4;1;0
5294;4;1;0
404;4;1;0
5440;5;1;1
2893;4;1;0
8983;4;1;0
5732;4;1;0
10123;5;1;1
3857;5;1;0
6833;5;1;0
8813;5;1;0
9580;5;1;1
9438;4;1;0
6590;4;1;0
6394;4;1;0
10452;5;1;0
6698;5;1;1
5495;4;1;0
5484;5;1;0
1812;3;1;0
7484;4;1;0
9584;5;1;1
4715;5;1;0
6194;5;1;0
1832;4;1;0
5220;4;1;0
2102;4;1;0
5717;4;1;0
5079;5;1;1
10165;5;1;0
5983;5;1;0
4809;4;1;0
818;4;1;0
3490;5;1;0
6610;5;1;1
3105;5;1;0
5488;5;1;0
6406;4;1;0
5064;4;1;0
8740;4;1;0
7586;5;1;1
4362;3;1;0
7986;5;1;0
5192;5;1;0
3474;5;1;1
9234;5;1;0
1977;4;1;0
788;5;1;0
309;3;1;0
2487;5;1;1
3621;5;1;0
9259;5;1;0
10342;5;1;1
2569;5;1;1
7711;5;1;1
1962;4;1;0
10277;4;1;0
586;5;1;1
314;4;1;0
9442;4;1;0
8119;5;1;0
6873;5;1;0
190;5;1;0
290;4;1;0
1664;4;1;0
6863;4;1;0
1602;3;1;0
338;4;1;0
2400;5;1;1
7253;4;1;0
2962;5;1;0
268;4;1;0
8327;4;1;0
9126;5;1;1
1987;4;1;0
50;4;1;0
4923;5;1;1
8350;4;1;0
2671;5;1;1
5162;5;1;1
10431;5;1;0
9557;5;1;1
6145;5;1;0
8049;4;1;0
6818;5;1;0
9129;5;1;1
271;4;1;0
4524;5;1;1
8272;5;1;1
8479;5;1;1
9912;4;1;0
6884;5;1;0
2755;4;1;1
2027;4;1;0
7769;5;1;0
3332;4;1;0
6940;5;1;0
6579;4;1;0
8492;5;1;2
7873;5;1;0
10250;5;1;1
470;4;1;0
8031;4;1;0
7789;4;1;1
1062;3;1;0
9622;5;1;0
3247;5;1;0
707;5;1;0
7675;5;1;1
994;4;1;1
5076;5;1;1
5865;4;0;0
8256;4;1;0
3824;5;1;1
2936;5;1;0
341;4;1;0
3884;4;1;0
7683;5;1;0
9271;3;1;0
9006;4;1;0
399;4;1;0
433;4;1;0
5758;4;1;0
4788;4;1;1
4211;4;1;0
5080;5;1;1
5130;4;1;0
2036;3;1;0
2222;4;0;0
7096;5;1;0
6712;5;1;1
7791;5;1;0
10317;4;1;0
2042;4;1;0
5985;4;1;0
6188;5;1;1
297;4;1;0
2782;5;1;1
8738;4;1;0
7455;4;1;0
6147;5;1;0
5370;5;1;1
7316;4;1;0
3368;4;1;0
8529;5;1;0
4421;4;1;0
3862;5;1;0
3504;5;1;0
6526;4;1;0
7580;5;1;1
2150;4;1;0
8009;5;1;0
6978;5;1;0
1749;4;1;0
5092;5;1;0
6369;4;1;0
10069;5;1;1
5059;4;1;0
5849;4;1;0
3445;5;1;1
5208;4;1;0
1788;4;1;0
5270;4;1;0
9607;5;1;0
6413;4;1;0
2680;5;1;1
4196;3;1;0
5054;4;1;0
536;5;1;1
10225;5;1;0
7955;4;1;0
2764;5;1;1
3537;5;1;0
3480;4;1;0
4831;5;1;0
1865;4;1;0
10419;5;1;0
497;5;1;1
6701;5;1;1
8276;5;1;1
8567;5;1;0
9223;4;1;0
7216;4;1;0
4570;5;1;1
7828;4;1;0
2145;4;1;0
8810;5;1;0
4157;4;1;0
2296;5;1;1
8788;5;1;0
8775;5;1;1
3239;4;1;0
2724;5;1;1
9060;4;1;0
10410;5;1;0
9314;5;1;1
2025;4;1;0
5355;5;1;1
4363;4;1;0
4821;4;1;0
10304;4;1;0
6229;5;1;1
8357;4;1;0
5207;4;1;0
647;4;1;0
4375;4;1;0
3969;5;1;0
5228;3;1;0
2160;4;1;0
2943;4;1;0
8097;4;1;0
7754;5;1;1
692;5;1;0
7299;4;1;0
8284;5;1;1
3570;5;1;1
605;5;1;1
9744;5;1;0
5266;4;1;0
9522;3;1;0
1920;4;1;0
